Title,Link,Views,Replies,Date,Labels
"people diagnosed with OCD, can you help me by telling me if you experience these symptoms?",https://sanctioned-suicide.net/threads/people-diagnosed-with-ocd-can-you-help-me-by-telling-me-if-you-experience-these-symptoms.175410/,350,8,"Aug 14, 2024",['Help']
Loneliness Megathread,https://sanctioned-suicide.net/threads/loneliness-megathread.74240/,27K,248,"Sep 23, 2021",['none']
I need some advice please,https://sanctioned-suicide.net/threads/i-need-some-advice-please.177304/,128,7,"Sep 1, 2024",['none']
Anyone else want to make their death look like an accident?,https://sanctioned-suicide.net/threads/anyone-else-want-to-make-their-death-look-like-an-accident.177293/,150,3,"Sep 1, 2024",['none']
Induced coma,https://sanctioned-suicide.net/threads/induced-coma.177299/,114,2,"Sep 1, 2024",['none']
I need some advices,https://sanctioned-suicide.net/threads/i-need-some-advices.176944/,318,18,"Aug 29, 2024",['Help']
No one could handle the truth.,https://sanctioned-suicide.net/threads/no-one-could-handle-the-truth.177296/,159,3,"Sep 1, 2024",['Venting']
Question/methods to lessen neck bruises with hanging,https://sanctioned-suicide.net/threads/question-methods-to-lessen-neck-bruises-with-hanging.177302/,59,0,"Sep 1, 2024",['none']
belt hanging?,https://sanctioned-suicide.net/threads/belt-hanging.177297/,109,2,"Sep 1, 2024",['none']
"How much higher does your anchor point have to be, compared to your height? (FULL SUSPENSION HANGING)",https://sanctioned-suicide.net/threads/how-much-higher-does-your-anchor-point-have-to-be-compared-to-your-height-full-suspension-hanging.177300/,91,0,"Sep 1, 2024",['Help']
this weekend is it,https://sanctioned-suicide.net/threads/this-weekend-is-it.176706/,347,8,"Aug 26, 2024",['none']
Is THIS the PAINLESS way to go because you simply pass out (SEE VIDEOS)?,https://sanctioned-suicide.net/threads/is-this-the-painless-way-to-go-because-you-simply-pass-out-see-videos.169491/,842,2,"Jun 21, 2024",['Help']
Drowning in car,https://sanctioned-suicide.net/threads/drowning-in-car.177283/,175,10,"Sep 1, 2024",['none']
Hi! any1 here knows sumthing bout drowning? How much weight should I strap around my body so that my body wouldn't get discovered?,https://sanctioned-suicide.net/threads/hi-any1-here-knows-sumthing-bout-drowning-how-much-weight-should-i-strap-around-my-body-so-that-my-body-wouldnt-get-discovered.177290/,80,0,"Sep 1, 2024",['Help']
