Author,Content,Date,Linked Messages,Message ID,ThreadTitle,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at,Sentiment
EscapeFromLife,"Is getting married before CTB a good idea? Perhaps it can be a way of recovery--- but that's very HARD. Has anyone experienced it?

Probably getting married would make things worse-- for the existing issues that are leading to CTB. So, getting married can just make things more complicated. For example, the CTB can lead investigations to the in-laws and partner, whereas doing CTB when single may only lead investigations to own parents. But, I think leaving a suicide note saying ""No one is responsible for by death"" beside the body may resue everyone from investigation. What do you think?","Jul 8, 2024 at 6:12 PM",,2589889,Marriage before CTB,,,,,,,,7,1,2024-10-02T03:21:09.448199Z,1,6.880.799.999.999.990,"{""choices"":[""1 wish to be death?"",""2 thoughts about killing yourself?"",""3 have been thinking about how you might do this?"",""6 have you done, started or prepared to do anything to end your life?"",""high risk""]}",2024-10-02T03:21:09.448199Z,3
Traveller12724,"Bro you must be trolling, I mean who in their right mind would get married only to ctb right after ? Why would you want to put anybody through that ?","Jul 8, 2024 at 10:05 PM",2589889,2590106,Marriage before CTB,,,,,,,,8,1,2024-10-02T03:21:25.669006Z,2,10.03,no enough information,2024-10-02T03:21:25.669006Z,5
Myforevercharlie,"I think putting someone through that is fucking horrible.
Did you ever think how this would effect your s.o.?","Jul 8, 2024 at 10:22 PM",,2590118,Marriage before CTB,,,,,,,,9,1,2024-10-02T03:26:36.227363Z,3,304.751,no enough information,2024-10-02T03:26:36.227363Z,5
rozeske,There are better ways for recovery that don't involve marriage. Have you looked into those?,"Jul 9, 2024 at 1:50 AM",,2590218,Marriage before CTB,,,,,,,,10,1,2024-10-02T03:26:55.136421Z,4,13.271,no enough information,2024-10-02T03:26:55.136421Z,5
who doesn't matter,"Oh no, never that. My first rule has been to never personally involve anyone in my life to that extent. I know my life is basically screwed and bringing someone else on this ""joyride"" would be beyond cruel.","Jul 9, 2024 at 2:19 AM",,2590231,Marriage before CTB,,,,,,,,11,1,2024-10-02T03:27:13.489896Z,5,12.969,no enough information,2024-10-02T03:27:13.489896Z,5
MyTimeIsUp,"That is fucking cruel. Why on earth would you put someone through that, knowing the entire time, you're going to kill yourself?

Other people are not responsible for your happiness. Having mental health difficulties, and then getting married doesn't magically make that go away.

It sounds like you don't want to actually ctb, so perhaps you should be working on yourself, and find others ways to heal, rather than bringing future partners into it.","Jul 9, 2024 at 7:25 AM",,2590420,Marriage before CTB,,,,,,,,12,1,2024-10-02T03:29:03.313092Z,6,104.139,no enough information,2024-10-02T03:29:03.313092Z,5
LunarLight,"If it's easier for your current partner to get your money if you get married, why not. But if you're single at the current time, no way, it's very selfish.","Jul 9, 2024 at 7:27 AM",,2590422,Marriage before CTB,,,,,,,,13,1,2024-10-02T03:29:22.234552Z,7,13.722,no enough information,2024-10-02T03:29:22.234552Z,5
Ihoujin,"That sounds reasonable. Get married, have a child, plant a tree. Life accomplished - logout.","Jul 9, 2024 at 7:32 AM",,2590427,Marriage before CTB,,,,,,,,14,1,2024-10-02T03:29:33.915181Z,8,6.545,no enough information,2024-10-02T03:29:33.915181Z,5
nozomu,"I got married as part of my attempt at recovery but nothing in my life actually changed. Same old fights, same old mistreatment. Same old I'm so starved so I must inhale the crumbs I get.

So I just set up legal avenues to mitigate my departure's impact.","Jul 17, 2024 at 10:58 PM",,2600123,Marriage before CTB,,,,,,,,15,1,2024-10-02T03:30:09.203288Z,9,57.586,"{""choices"":[""started to work or did you intent to carry out this plan?"",""high risk""]}",2024-10-02T03:58:49.680103Z,3
akwa,"How much does a 9mm gun in the mouth mess up the appearance of your face?

I'm not worried for myself, but for my next of kin forced to identify my body. Just thinking about the logistics. I plan to leave my ID.

Will my family still need to identify my body? I will be shooting myself away from the home.

If yes, how messed up will my face be? I am worrying about the psychological trauma for them... Could they identify me through other means, such as a birthmark on my leg?

Thank you in advance. I'm in the US, if it helps.","Jul 17, 2024 at 8:43 PM",,2600032,How much does a 9mm gun in the mouth mess up the appearance of your face?,,,,,,,,16,1,2024-10-02T03:31:01.205543Z,10,135.946,"{""choices"":[""2 thoughts about killing yourself?"",""thinking about how you might do this?"",""thoughts and some intention of acting on them?"",""started to work or did you intent to carry out this plan?"",""high risk"",""method""]}",2024-10-02T19:14:48.192277Z,3
